Hour,Load (kW),Load (kW)
450,64933.8267,0.649338267
451,68226.7548,0.682267548
452,68134.2204,0.681342204
453,69120.228,0.69120228
454,64450.21,0.6445021
455,73865.3379,0.738653379
456,67330.9405,0.673309405
457,72006.4412,0.720064412
458,65890.3995,0.658903995
459,59041.5701,0.590415701
460,53148.0988,0.531480988
461,50587.7326,0.505877326
462,49031.5557,0.490315557
463,54432.574,0.54432574
464,46848.8375,0.468488375
465,50772.2273,0.507722273
466,56549.3705,0.565493705
467,63322.7681,0.633227681
468,67133.6639,0.671336639
469,63772.3187,0.637723187
470,63001.7047,0.630017047
471,66054.9085,0.660549085
472,70981.4541,0.709814541
473,71337.1655,0.713371655
474,67456.6622,0.674566622
475,70803.2467,0.708032467
476,67764.122,0.67764122
477,66411.9043,0.664119043
478,70594.5263,0.705945263
479,74203.2034,0.742032034
480,73409.3538,0.734093538
481,80724.9623,0.807249623
482,72451.9059,0.724519059
483,71643.7356,0.716437356
484,65791.6989,0.657916989
485,64019.9262,0.640199262
486,63416.953,0.63416953
487,66589.5366,0.665895366
488,63465.7801,0.634657801
489,52051.9928,0.520519928
490,49923.7979,0.499237979
491,53527.8993,0.535278993
492,49517.2283,0.495172283
493,49261.9252,0.492619252
494,49034.3643,0.490343643
495,52784.4836,0.527844836
496,51154.1387,0.511541387
497,53088.2887,0.530882887
498,52103.2346,0.521032346
499,54546.5334,0.545465334
500,66957.4376,0.669574376
501,68812.8978,0.688128978
502,63519.7085,0.635197085
503,63987.4344,0.639874344
504,63297.6194,0.632976194
505,69077.8828,0.690778828
506,68633.39,0.6863339
507,67525.3525,0.675253525
508,62758.9363,0.627589363
509,63751.4008,0.637514008
510,65239.6762,0.652396762
511,63970.4416,0.639704416
512,60323.2705,0.603232705
513,66449.4391,0.664494391
514,74170.4655,0.741704655
515,71187.459,0.71187459
516,65026.9616,0.650269616
517,67134.9243,0.671349243
518,70129.6776,0.701296776
519,69040.6577,0.690406577
520,70422.5743,0.704225743
521,68410.5269,0.684105269
522,68778.6922,0.687786922
523,72375.9107,0.723759107
524,71689.4578,0.716894578
525,76397.8076,0.763978076
526,76854.5087,0.768545087
527,75748.3828,0.757483828
528,73684.9641,0.736849641
529,79913.4814,0.799134814
530,74811.6746,0.748116746
531,78305.6209,0.783056209
532,77915.5393,0.779155393
533,88011.9674,0.880119674
534,87208.5069,0.872085069
535,86086.5546,0.860865546
536,82242.4873,0.822424873
537,87778.0561,0.877780561
538,87324.2521,0.873242521
539,84595.5876,0.845955876
540,68507.6096,0.685076096
541,78093.371,0.78093371
542,76677.3581,0.766773581
543,84239.0681,0.842390681
544,73800.3659,0.738003659
545,68716.9716,0.687169716
546,86232.9932,0.862329932
547,81154.5554,0.811545554
548,66909.4899,0.669094899
549,82711.3326,0.827113326
550,82064.0147,0.820640147
551,87152.9572,0.871529572
552,80613.005,0.80613005
553,89198.1616,0.891981616
554,85535.0903,0.855350903
555,79779.2718,0.797792718
556,73400.5481,0.734005481
557,60303.2093,0.603032093
558,81398.395,0.81398395
559,80157.2166,0.801572166
560,78158.9667,0.781589667
561,81950.9427,0.819509427
562,82052.8433,0.820528433
563,82265.578,0.82265578
564,82357.8183,0.823578183
565,82290.6185,0.822906185
566,83208.4026,0.832084026
567,76646.4362,0.766464362
568,76980.3534,0.769803534
569,78464.416,0.78464416
570,79318.3482,0.793183482
571,76831.1812,0.768311812
572,71428.0093,0.714280093
573,78702.7678,0.787027678
574,75410.7053,0.754107053
575,77697.5541,0.776975541
576,81021.6421,0.810216421
577,81013.6443,0.810136443
578,70355.6754,0.703556754
579,72384.1131,0.723841131
580,56409.2426,0.564092426
581,48430.3439,0.484303439
582,67184.2444,0.671842444
583,75355.32,0.7535532
584,73824.0856,0.738240856
585,76331.1757,0.763311757
586,77111.3226,0.771113226
587,83433.1529,0.834331529
588,72945.3153,0.729453153
589,82220.9046,0.822209046
590,73790.4106,0.737904106
591,78291.8829,0.782918829
592,79559.0193,0.795590193
593,81334.4237,0.813344237
594,78812.7681,0.788127681
595,78588.1417,0.785881417
596,71739.0557,0.717390557
597,79154.8116,0.791548116
598,79750.5257,0.797505257
599,79584.9259,0.795849259
600,75745.4162,0.757454162
601,76487.2779,0.764872779
602,77344.5815,0.773445815
603,75234.4244,0.752344244
604,77556.9478,0.775569478
