Hour,Load (kW)
2344,57079.5443
2345,58610.1586
2346,59392.802
2347,58870.9519
2348,60642.8287
2349,59071.7302
2350,62640.6435
2351,61765.1005
2352,63634.2708
2353,61239.1477
2354,70539.3604
2355,64308.5688
2356,62873.4529
2357,60706.2801
2358,59929.0295
2359,54963.1097
2360,59084.4128
2361,62197.4094
2362,59072.5046
2363,67029.8229
2364,60420.7017
2365,62201.6818
2366,76250.4075
2367,66393.1295
2368,67283.9046
2369,68069.5022
2370,74203.3952
2371,72251.0021
2372,73896.0873
2373,68540.229
2374,72461.132
2375,74225.0356
2376,75910.2955
2377,81240.1932
2378,71986.3453
2379,68984.8141
2380,64959.8561
2381,64026.643
2382,64639.9756
2383,63881.5939
2384,63077.0392
2385,62361.3799
2386,58381.8573
2387,61011.2024
2388,62296.1718
2389,64526.882
2390,72024.9272
2391,76265.8597
2392,69739.4235
2393,78839.2925
2394,70837.4655
2395,66450.8548
2396,68149.4338
2397,69274.8987
2398,69194.6458
2399,73417.3677
2400,78176.9006
2401,76640.4048
2402,70129.9748
2403,69891.2116
2404,74198.5592
2405,70703.3782
2406,68866.5917
2407,67259.482
2408,63200.1374
2409,65265.5457
2410,64709.7256
2411,53167.8512
2412,57189.0403
2413,58811.0398
2414,59768.2656
2415,62252.5027
2416,63945.3965
2417,67261.1174
2418,66450.7644
2419,72168.422
2420,67206.3034
2421,80379.5957
2422,75880.0464
2423,73841.8527
2424,68360.7409
2425,78189.38
2426,76081.6617
2427,65707.9612
2428,60032.4835
2429,59637.4743
2430,65570.4329
2431,65351.2687
2432,62574.1931
2433,61151.8612
2434,65783.9274
2435,58771.8142
2436,80242.9684
2437,77797.8582
2438,83862.4125
2439,83885.0526
2440,83690.3065
2441,77153.3009
2442,73985.1997
2443,68187.0309
2444,70544.3253
2445,69232.6246
2446,67311.1368
2447,65831.7963
2448,71926.0532
2449,78172.1858
2450,76904.382
2451,68918.117
2452,69722.1607
2453,69710.9414
2454,69983.0781
2455,61569.814
2456,63045.6314
2457,76759.1956
2458,80517.0579
2459,88969.6749
2460,85242.2246
2461,84311.4927
2462,68288.1156
2463,71594.8953
2464,68021.3143
2465,63411.1596
2466,67795.2228
2467,71089.341
2468,70997.9951
2469,71985.1899
2470,67316.3576
2471,76732.6697
2472,70199.455
2473,74876.1369
2474,68761.2751
2475,61913.624
2476,56021.3294
2477,53462.1386
2478,51907.1356
2479,57309.3262
2480,49726.7606
2481,53651.3198
2482,59429.6309
2483,66204.195
2484,70016.2558
2485,66656.0741
2486,65886.6221
2487,68940.9864
2488,73868.691
2489,74225.56
2490,70346.2127
2491,73693.9519
2492,70655.9802
2493,69304.9141
2494,73488.6863
2495,77098.512
2496,76305.8095
2497,83622.5637
2498,75350.6514
2499,74543.6237
2500,68692.7283
